"umidita" "temperatura"
81 30
86 34
87 34
81 33
85 32
82 34
77 32
82 33
81 33
83 34
82 30
84 31
87 35
81 33
83 31
82 30
83 34
84 34
85 35
84 34
86 35
83 31
83 31
82 30
83 31
83 34
80 33
89 37
86 32
81 30
82 33
83 34
84 31
87 36
83 33
85 32
82 30
77 32
84 34
79 33
79 29
86 35
80 33
81 34
78 31
83 34
82 30
81 33
87 35
85 32
84 33
84 33
84 34
83 34
78 29
85 36
81 34
88 36
81 32
75 28
86 36
88 33
86 32
79 32
85 35
87 32
80 30
85 36
80 33
82 34
78 31
83 35
86 32
82 30
83 31
85 35
84 33
87 36
82 34
83 31
85 32
74 30
82 34
89 33
81 30
84 34
85 34
83 35
85 32
85 32
84 31
83 34
94 38
84 31
85 32
82 30
84 31
81 30
90 37
80 33
86 36
80 33
83 34
82 30
87 32
83 34
83 35
86 32
84 31
82 33
83 31
79 32
84 34
84 34
84 35
88 36
85 32
84 34
82 30
80 33
85 35
80 32
86 32
87 35
85 35
89 36
85 35
81 30
77 28
85 35
89 36
82 34
84 34
88 37
86 36
83 33
79 32
86 34
79 32
89 33
87 34
84 34
83 31
85 36
82 34
87 34
82 30
85 35
80 33
81 30
86 32
83 35
81 30
81 32
85 35
85 35
81 33
81 30
88 37
86 35
83 34
84 34
85 35
85 32
83 34
77 31
86 35
85 35
82 34
89 33
82 30
87 32
83 35
86 36
80 33
83 33
86 32
87 35
85 36
87 35
83 34
89 36
83 35
77 28
82 34
85 35
86 36
85 35
79 29
84 33
82 33
82 30
86 34
85 36
84 31
82 30
83 31
79 33
88 36
82 33
87 32
85 32
87 32
87 32
88 36
82 30
84 35
85 32
85 35
87 36
85 32
79 32
78 33
84 34
93 35
88 36
86 35
80 30
84 31
85 34
85 35
83 34
82 33
84 35
76 30
81 30
78 29
87 34
82 33
82 34
84 35
82 32
86 35
83 34
86 35
83 35
80 34
82 30
82 33
89 36
82 30
83 33
78 32
87 35
85 34
84 34
83 31
80 34
89 36
84 33
87 35
78 29
87 35
81 33
88 37
82 33
82 33
85 35
85 35
85 36
