sepal_length,sepal_width,petal_length,petal_width,target,species,random_values,new_attribute_1,new_attribute_2,new_attribute_3,new_attribute_4,new_attribute_5
5.1,3.5,1.4,0.2,0,setosa,2.0379472585367306,10.47335301957621,7.212637405917441,2.9329481629903067,0.48741145274623027,5.00503629682925
4.9,3.0,1.4,0.2,0,setosa,1.9394749025137186,9.825746001919978,6.140743687143912,3.0375838431219617,0.7102139601054998,5.05291405797435
4.7,3.2,1.3,0.2,0,setosa,1.9193241322025603,9.3922334154453,6.513247217141458,2.866531365956594,0.7552748205337777,4.897557344424589
4.6,3.1,1.5,0.2,0,setosa,1.9972725714602744,9.618824445225934,6.622915588035522,3.4272794736990835,0.830825130800727,4.606281652019867
5.0,3.6,1.4,0.2,0,setosa,2.016114133300556,10.247827935830944,7.425268149210165,2.9898170559489414,0.5704800959882748,4.960036654090174
5.4,3.9,1.7,0.4,0,setosa,1.9964565244797408,10.949553898814969,7.954869112095356,3.562664758239926,0.9672712764162632,5.409584364885876
4.6,3.4,1.4,0.3,0,setosa,2.0157729014227512,9.280902850421384,6.861975368714083,2.830429565868581,0.6130793743035545,4.564006190135086
5.0,3.4,1.5,0.2,0,setosa,1.9597018421989458,9.998262505820183,6.862739558301869,3.139306058123872,0.5916936632652425,5.102817063630037
4.4,2.9,1.4,0.2,0,setosa,1.9861518181015978,8.81240165680026,5.833173929647864,2.8539462024954667,0.4705640207735496,4.43067842034916
4.9,3.1,1.5,0.1,0,setosa,1.9564120308917439,9.83124445274929,6.309702797144151,3.1794435477173613,0.44046670446891967,5.009169768565114
5.4,3.7,1.5,0.2,0,setosa,2.0720623654337365,11.2089030092876,7.686396988050246,3.127859784096026,0.4341787090321685,5.212198329628597
4.8,3.4,1.6,0.2,0,setosa,1.9065101895490801,9.533936769033666,6.864822503664954,3.43310416247661,0.763989897107898,5.035378280496131
4.8,3.0,1.4,0.1,0,setosa,2.0706838193156485,10.160774449488104,6.433543574719936,3.120449463814899,0.4285604987045561,4.63614961900497
4.3,3.0,1.1,0.1,0,setosa,2.0922851819838595,9.063793318880304,6.3438225823012875,2.368480736531955,0.27619555454809525,4.110338339176912
5.8,4.0,1.2,0.2,0,setosa,1.9881333821262475,11.597700429686585,8.019060341859339,2.4522868719058457,0.4641534897795982,5.834618594650906
5.7,4.4,1.5,0.4,0,setosa,1.9519571065529109,11.174110521043051,8.636566282524267,2.975890673520825,0.8287378563126231,5.840292269604228
5.4,3.9,1.3,0.4,0,setosa,2.09369289662369,11.800404126000569,8.659864781065032,3.2162632498434385,1.3319396428821175,5.158349640205681
5.1,3.5,1.4,0.3,0,setosa,1.9863461814393912,10.476601398695069,7.2984475083920435,3.1271205273693217,0.9421397277859915,5.135056565320675
5.7,3.8,1.7,0.3,0,setosa,2.017576997749066,11.782298146764314,7.948901851041088,3.7119901557680484,0.8873823589193561,5.650341975904041
5.1,3.8,1.5,0.3,0,setosa,1.917194768683053,10.208411501914938,7.71605830262697,3.3065103346559477,1.0058766122362846,5.320273227642133
5.4,3.4,1.7,0.2,0,setosa,1.9890512261835038,10.991148186515105,7.013045734148096,3.63165864963614,0.6480818103608842,5.42972441223775
5.1,3.7,1.5,0.4,0,setosa,2.004674309447914,10.64076375441862,7.834219721191541,3.4239362404061304,1.218794500013425,5.088108303642137
4.6,3.6,1.0,0.2,0,setosa,1.9937865386271396,9.24830270929355,7.254516170666413,2.0706711702358502,0.4756419393341388,4.614335497688152
5.1,3.3,1.7,0.5,0,setosa,1.9356335413618744,9.97732841807022,6.493188043618848,3.3961743774398485,1.0734141278055995,5.2695925039733895
4.8,3.4,1.9,0.2,0,setosa,1.9117682878154816,9.448701061321785,6.772225458380112,3.9045730266568897,0.6545669373705711,5.0215290530682575
5.0,3.0,1.6,0.2,0,setosa,1.9227597833730503,9.653601967921908,5.808082401175808,3.1162187044535377,0.4243550077312671,5.200857687202738
5.0,3.4,1.6,0.4,0,setosa,2.036063023518456,10.53607402847205,7.2783731908425215,3.613459748509302,1.1701841202871541,4.911439324073238
5.2,3.5,1.5,0.2,0,setosa,1.9488975328646196,10.444002751772318,7.1308769459024655,3.2330818801732266,0.6995150874492211,5.336350333777367
5.2,3.4,1.4,0.2,0,setosa,2.0648490970306486,11.161524705678744,7.444796331023576,3.3150981369622787,0.8372792205255007,5.036687676090081
4.7,3.2,1.6,0.2,0,setosa,1.977602362435877,9.467099855163347,6.5006963115095315,3.336532531612128,0.5678892242019,4.753230567757674
4.8,3.1,1.6,0.2,0,setosa,2.0292572958330193,10.119193877900539,6.669456474984407,3.625570531234878,0.7846103170686509,4.73079486751785
5.4,3.4,1.5,0.4,0,setosa,1.988165231044384,10.947033123163788,6.970702661075019,3.1931887220906896,1.0062069679418673,5.43214408509033
5.2,4.1,1.5,0.1,0,setosa,2.0172893804371785,10.936193351817058,8.71717503333616,3.4722226441994968,0.6480175115874468,5.155432879811302
5.5,4.2,1.4,0.2,0,setosa,1.9507144440242195,10.783023580449282,8.247094803217797,2.7850943599499813,0.44423702712091806,5.63895963025095
4.9,3.1,1.5,0.2,0,setosa,2.0180290735693385,10.048845518305392,6.4163931858805805,3.187546668169639,0.5641088725294987,4.856223395566098
5.0,3.2,1.2,0.2,0,setosa,2.058569240637856,10.641808618146667,6.936383984998527,2.819245503722814,0.760676263084958,4.857742845172145
5.5,3.5,1.3,0.2,0,setosa,1.9641368906176782,11.138103683373942,7.209829902138586,2.8887287427796933,0.7281781631002475,5.60042431489627
4.9,3.6,1.4,0.1,0,setosa,2.01744250028335,10.299963721790293,7.677288471421939,3.2389149707985685,0.6162397204302137,4.85763534704141
4.4,3.0,1.3,0.2,0,setosa,2.0065243320489135,9.092889685571299,6.28375562070282,2.872664256219667,0.6654874909658621,4.3856931408422515
5.1,3.4,1.5,0.2,0,setosa,1.9039473409776408,9.737961072544254,6.501250592882264,2.8837506450247465,0.4086191017538137,5.357291024006206
5.0,3.5,1.3,0.3,0,setosa,2.0283634386619815,10.247136320088698,7.204591162095724,2.742191597039365,0.7138281583773836,4.930082947362008
4.5,2.3,1.3,0.3,0,setosa,1.902809862829272,8.829448111096758,4.64326641287236,2.7404565500430875,0.8376466872138157,4.729847251589276
4.4,3.2,1.3,0.2,0,setosa,2.0844417756097036,9.559275518317069,7.0579453875854234,3.097506013926987,0.8046200607563129,4.221753806208371
5.0,3.5,1.6,0.6,0,setosa,1.9653108469331915,10.076521319002932,7.128555048603144,3.39446443943008,1.4291535924968886,5.088253604056936
5.1,3.8,1.9,0.4,0,setosa,1.988195728724839,10.527614658164104,7.9429602108218145,4.16538832624462,1.1830947331573614,5.130279606093879
4.8,3.0,1.4,0.3,0,setosa,1.9169171715210789,9.258336282567639,5.807885373829698,2.740817899395971,0.6322090107227843,5.00804111029084
5.1,3.8,1.6,0.2,0,setosa,1.9380868436332026,10.175782707583117,7.656269810859954,3.3924787548669086,0.679157173780425,5.262922058166773
4.6,3.2,1.4,0.2,0,setosa,1.960560800402906,9.324418278459751,6.579633157895684,3.050623717170452,0.6979507566869653,4.692534910475283
5.3,3.7,1.5,0.2,0,setosa,2.080711504581287,11.24118071336267,7.912042306032612,3.3344769959537803,0.6295520399981074,5.094411203408565
5.0,3.3,1.4,0.2,0,setosa,1.9497095042079309,9.867530381262029,6.553024224108545,2.8485761661134763,0.5089247610639595,5.12896920203633
7.0,3.2,4.7,1.4,1,versicolor,1.9033642093033878,13.565187779643534,6.332403784290659,9.18745009824574,2.906348207544561,7.355397317849041
6.4,3.2,4.5,1.5,1,versicolor,2.079349644485176,13.741355631012313,7.0874367686597495,9.790591306490478,3.55254237303495,6.15577088439551
6.9,3.1,4.9,1.5,1,versicolor,1.9243398728136358,13.357548835660339,6.045057318968523,9.508869090033066,2.9661135224667046,7.171290370771459
5.5,2.3,4.0,1.3,1,versicolor,1.9002315402795893,10.540448485812163,4.4597075569174764,7.690101175392779,2.559476016637888,5.788768245779944
6.5,2.8,4.6,1.5,1,versicolor,2.020059111732229,13.137315127729241,5.663096414319995,9.299202815438006,3.037019569068097,6.435455242125226
5.7,2.8,4.5,1.3,1,versicolor,1.9194676473230248,11.123165324464297,5.556709147227527,8.819804147676669,2.677507676242989,5.939146729510627
6.3,3.3,4.7,1.6,1,versicolor,2.0176484511039385,12.939073344362887,6.8861279910510715,9.710835822596586,3.4561256241743763,6.244893649885351
4.9,2.4,3.3,1.0,1,versicolor,1.9386399258288698,9.574780681934838,4.728180867362661,6.472956800608643,2.0140849712022435,5.055090359706684
6.6,2.9,4.6,1.3,1,versicolor,1.901776013561814,12.890477950184783,5.853906700006071,9.086925923061155,2.81106507830717,6.940880474813579
5.2,2.7,3.9,1.4,1,versicolor,1.9042219129113134,10.306581487797743,5.546026705519459,7.831093001013035,3.070538218734751,5.461548325583399
5.0,2.0,3.5,1.0,1,versicolor,1.977099384491523,10.258152952442268,4.326854798967699,7.292503875704983,2.3497554144761756,5.0579146796769825
5.9,3.0,4.2,1.5,1,versicolor,2.0927453701238505,12.833639920712761,6.764678347353594,9.275972791502214,3.625560292167818,5.638526391436558
6.0,2.2,4.0,1.0,1,versicolor,1.9765954739955638,12.146005405649088,4.634942604465947,8.192814457657962,2.2630280356712706,6.071044964877286
6.1,2.9,4.7,1.4,1,versicolor,1.926326174004734,12.117289520052761,5.953045763237613,9.420432876446135,3.063556502230512,6.333299191297817
5.6,2.9,3.6,1.3,1,versicolor,1.910542625049565,10.879750044312262,5.721284956678437,7.058664794213132,2.6644167565991324,5.862208910261523
6.7,3.1,4.4,1.4,1,versicolor,2.066946848522745,14.015444562081306,6.574435907399423,9.261466810478993,3.060626264910756,6.482992056412593
5.6,3.0,4.5,1.5,1,versicolor,1.92393152859694,11.241728747823784,6.239506773471741,9.12540406636715,3.3536094805763312,5.821412993926967
5.8,2.7,4.1,1.0,1,versicolor,2.081157394364614,12.16682467703738,5.715236754507077,8.628857106617534,2.177269184087233,5.573821581880657
6.2,2.2,4.5,1.5,1,versicolor,1.9915941395360068,12.509072196017984,4.542695637873956,9.12336215880677,3.1485797401987505,6.226168150348594
5.6,2.5,3.9,1.1,1,versicolor,2.0285953454322563,11.584487933033495,5.2958423621935005,8.13587584579866,2.455808878588342,5.521061667236294
5.9,3.2,4.8,1.8,1,versicolor,1.9596498265553215,11.996140795934096,6.705086264234727,9.840525986723241,3.961576507057277,6.021483961112622
6.1,2.8,4.0,1.3,1,versicolor,1.9206600404261893,11.927611759990493,5.589433626584068,7.894225675095496,2.7084435659447847,6.351983038754142
6.3,2.5,4.9,1.5,1,versicolor,2.0393521442281335,13.131635129364282,5.382096981297376,10.276542127444896,3.342744837069242,6.178432712398929
6.1,2.8,4.7,1.2,1,versicolor,1.9956600481701718,12.635860873949833,6.050182714988265,9.841936806511592,2.8571266379159903,6.1132656391985325
