"pioggia" "incidenti"
11 7
11 7
9 5
11 7
14 10
11 7
10 6
10 6
6 2
9 7
12 9
12 10
14 10
11 8
11 7
12 10
10 6
8 4
9 5
8 4
12 8
8 4
11 7
12 8
14 10
9 5
12 8
10 6
13 9
9 5
15 11
12 8
8 4
9 5
11 8
9 5
9 6
9 7
12 8
9 6
5 1
10 6
13 9
14 11
13 10
10 6
13 10
11 8
10 6
13 9
10 6
7 3
10 6
8 6
12 8
14 11
10 8
10 8
10 6
14 10
11 7
13 11
13 9
12 8
8 5
4 1
12 8
8 4
13 9
8 4
10 6
12 8
8 4
9 6
10 6
15 12
10 6
11 7
10 6
7 3
13 9
10 6
8 4
14 11
11 9
9 6
15 11
8 4
8 5
10 6
12 8
14 11
11 7
11 7
9 5
12 9
8 5
13 10
7 4
13 9
14 11
13 10
10 6
9 5
11 8
11 8
7 3
13 10
11 7
10 6
10 6
14 10
14 11
11 7
11 7
11 8
11 7
10 7
6 3
12 8
9 5
11 7
10 8
9 5
8 4
9 5
11 8
7 4
14 11
14 10
12 8
10 7
8 4
9 5
12 8
9 7
12 8
11 7
14 10
9 5
9 6
12 8
13 9
10 6
11 7
11 7
9 7
12 8
16 14
11 7
13 10
12 8
9 5
13 10
12 8
16 12
12 8
6 2
10 6
11 9
11 7
12 8
10 6
8 4
10 7
10 6
14 10
9 5
14 12
9 5
12 8
9 5
10 6
12 8
13 9
11 8
11 7
10 7
9 5
11 8
11 7
15 11
11 7
9 5
11 7
9 6
7 3
9 5
12 8
10 6
13 9
11 7
11 7
10 6
11 7
10 6
9 5
9 5
9 5
10 6
12 9
12 8
11 7
9 5
8 4
10 6
8 6
13 9
10 7
10 6
12 8
10 6
12 9
12 8
10 7
7 3
13 10
8 4
10 6
12 9
13 10
11 8
5 1
10 7
13 9
14 10
6 2
10 6
12 8
11 7
12 9
8 4
12 8
11 7
11 7
13 10
9 5
8 5
11 7
10 7
13 9
12 8
10 6
9 5
12 10
11 8
10 6
11 7
11 7
11 8
9 5
7 3
12 8
12 8
10 7
11 8
12 8
12 9
10 7
11 8
11 7
9 5
9 5
7 3
11 7
10 7
12 8
8 4
11 7
9 5
10 6
8 4
11 8
13 11
9 7
10 6
13 9
8 4
9 6
15 11
8 4
12 8
12 8
10 6
10 6
12 8
11 7
10 6
9 5
12 8
11 8
9 6
14 10
13 9
11 7
10 6
9 5
14 11
7 3
12 9
11 7
13 9
14 12
13 9
10 8
10 6
9 5
12 9
7 3
10 6
8 4
9 5
10 7
11 7
11 7
10 6
13 9
12 8
9 5
14 10
12 8
12 8
11 7
13 9
10 7
10 6
8 4
12 8
9 6
8 4
16 13
15 11
9 5
11 7
8 5
11 8
10 7
7 3
14 10
12 8
8 5
10 6
9 5
8 4
14 10
9 5
10 6
13 9
10 7
13 10
10 6
11 9
11 9
9 5
10 6
13 9
10 6
11 7
14 10
12 8
13 9
10 6
13 9
8 4
12 8
14 10
10 6
10 8
9 5
12 9
9 5
9 5
11 9
11 9
9 5
10 7
10 6
10 6
10 6
9 5
12 8
13 10
9 6
13 9
11 7
9 7
11 8
13 10
11 7
10 6
13 9
13 9
11 7
9 5
11 8
10 7
8 4
12 8
12 8
8 5
11 7
13 9
10 6
10 8
12 8
12 9
8 5
10 6
11 7
11 7
13 10
10 7
11 8
15 11
9 5
12 9
10 6
13 9
9 5
9 5
8 5
11 8
9 5
11 7
13 11
13 10
13 11
9 5
11 9
11 7
10 6
13 9
15 11
10 6
8 4
10 6
12 8
11 7
13 11
10 6
10 6
11 7
14 10
10 6
13 9
9 5
13 9
12 8
10 6
9 5
12 8
13 9
11 7
9 6
12 8
10 6
9 5
12 8
13 9
8 5
9 7
13 9
9 6
8 4
10 8
12 10
10 6
8 4
11 8
13 9
9 5
15 11
9 6
9 5
10 7
16 14
8 5
14 10
13 9
10 6
9 5
12 8
9 5
11 7
9 5
12 8
11 7
10 6
11 7
10 6
12 8
11 7
11 8
9 5
8 4
11 7
11 7
10 6
10 6
12 8
10 8
8 4
12 8
13 10
12 8
13 9
12 8
10 6
13 10
9 6
13 9
10 6
8 4
9 5
10 8
10 6
9 5
10 6
9 7
12 8
11 7
12 8
10 6
15 11
7 3
8 4
11 7
8 5
10 7
15 11
12 8
14 11
12 9
11 7
12 8
10 7
10 6
15 11
13 9
10 6
8 4
9 5
9 6
8 4
12 8
9 7
7 3
12 8
8 5
9 5
8 4
5 1
8 4
13 9
11 7
10 6
10 6
12 8
9 6
8 4
11 7
9 5
9 5
14 10
11 7
12 8
9 6
9 6
9 5
10 6
11 7
10 6
10 6
14 10
11 7
9 5
13 9
9 5
10 6
12 8
12 9
11 7
11 7
5 1
11 7
10 8
11 7
12 9
10 6
11 7
14 10
11 8
7 3
14 10
11 7
11 8
10 6
11 7
7 3
12 8
14 10
9 5
11 7
12 10
12 8
10 6
10 6
12 8
9 5
8 4
10 6
7 3
10 8
11 8
14 10
11 9
9 5
9 5
10 8
13 10
11 9
9 5
13 9
12 9
9 5
11 8
9 7
11 7
8 4
12 8
8 4
9 5
12 9
11 7
8 4
9 6
9 5
9 5
8 5
12 8
8 6
12 8
10 6
13 9
6 2
13 9
11 7
12 8
11 8
7 4
9 5
14 10
8 5
11 7
10 8
11 8
12 8
12 8
7 3
9 6
11 7
7 3
11 7
10 7
13 9
13 9
13 9
12 8
13 9
9 5
10 8
14 10
10 8
5 2
10 6
11 7
9 5
13 9
9 5
13 9
11 7
7 3
9 5
10 7
15 11
11 9
10 6
10 6
12 8
12 8
9 5
12 8
11 9
12 8
10 6
12 8
10 6
12 8
11 8
11 7
9 5
9 5
8 4
10 7
11 9
10 6
10 6
10 6
9 5
10 6
11 7
10 6
8 5
10 7
8 6
9 6
9 5
10 6
10 6
10 6
12 8
12 10
14 11
11 8
13 9
11 7
10 6
11 7
13 11
8 4
8 4
8 4
10 6
11 7
8 5
12 8
13 10
9 5
12 8
10 6
9 5
