"primaconf" "finalconf"
3 22
6 32
5 21
6 43
5 34
4 25
10 53
4 23
10 58
4 27
3 17
6 40
7 32
10 54
4 28
10 70
5 27
9 49
7 44
6 28
4 19
7 47
3 16
5 30
5 19
5 16
6 24
5 13
9 64
6 39
7 33
4 19
6 41
7 39
5 19
8 39
3 25
6 39
3 24
5 15
6 29
7 39
9 39
6 46
4 33
8 39
9 57
5 37
10 48
4 17
4 26
4 10
5 19
6 45
3 18
10 62
3 8
3 4
7 38
9 61
3 12
3 7
8 48
7 47
9 42
7 46
6 48
4 29
7 50
10 56
10 73
3 25
7 51
8 41
8 39
6 38
10 53
10 57
3 5
3 15
4 8
6 27
10 54
9 65
5 26
3 21
3 8
3 21
9 67
7 53
5 20
4 20
7 31
8 37
5 14
10 73
3 5
3 17
5 16
3 11
4 15
9 65
7 39
7 47
5 17
4 24
3 9
9 46
9 54
8 36
4 10
6 48
10 52
9 52
5 31
7 38
4 10
5 32
8 37
9 55
9 64
7 35
8 44
5 27
8 51
6 44
6 37
5 22
10 51
5 28
9 41
6 23
4 22
6 29
8 37
7 40
8 32
7 42
10 53
7 30
9 59
8 52
4 20
6 28
10 50
7 30
6 34
4 14
6 24
7 54
8 43
5 16
4 18
3 16
9 65
4 22
5 27
10 51
6 32
3 8
9 64
10 48
5 15
6 48
6 25
8 34
5 40
10 74
10 68
8 43
3 23
9 57
4 10
10 53
10 49
9 58
4 28
4 20
8 40
4 16
8 36
10 53
6 44
10 60
5 38
9 58
8 51
4 33
3 12
6 28
7 41
9 60
7 37
3 9
7 49
4 21
7 31
4 23
3 15
9 48
